Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Chevrolet,3 Series,Sedan,Europe,FWD,18762,49643,4.1,8,134,31,23,4830,127.9,179.5
BMW,Corolla,SUV,USA,AWD,61167,45324,3.9,4,186,29,27,4859,112.6,175.2
Chevrolet,F-150,SUV,Europe,AWD,24768,52360,2.4,4,233,33,20,3245,128.2,180.2
BMW,F-150,Sedan,Asia,4WD,58408,31824,3.4,6,295,20,20,4188,124.1,198.9
Toyota,Corolla,SUV,USA,FWD,54499,59360,6.3,6,373,34,34,2776,107.7,162
Ford,F-150,Sedan,Europe,FWD,75280,22927,2.7,8,300,13,34,2560,125.2,223.5
Honda,A4,SUV,USA,RWD,67269,42144,2.2,6,468,15,35,5890,98.9,170.9
Toyota,A4,Truck,Europe,FWD,53559,45010,3.6,6,384,10,17,4413,127.4,175.4
Honda,Corolla,Truck,Asia,AWD,63590,36443,5.5,4,176,29,31,4599,117.1,196.3
Audi,3 Series,Coupe,Asia,FWD,23783,28437,4.4,6,158,32,31,4700,96.9,209.7
Ford,3 Series,Truck,USA,RWD,61389,58298,4.9,6,225,25,26,4272,117.5,166.7
Ford,Corolla,Truck,Europe,4WD,44781,53778,2.4,4,208,24,30,3834,129.1,182.2
Toyota,3 Series,Truck,USA,RWD,45811,25207,4.6,4,323,26,29,4337,97.4,227.8
Ford,3 Series,Sedan,USA,RWD,63787,70269,3.1,8,377,17,27,5091,114.4,178.4
BMW,A4,Truck,Europe,4WD,50488,74233,5.7,6,167,21,37,3066,121.2,181.9
Ford,3 Series,Truck,Europe,RWD,23905,39537,4.6,4,168,31,15,5960,123.4,218.6
Honda,Cruze,Coupe,Europe,RWD,24127,49757,2.5,8,264,30,31,4071,109.5,163.5
Honda,Civic,Truck,Asia,FWD,37431,26040,1.8,8,404,19,17,3121,102.1,192.5
Honda,F-150,Truck,USA,FWD,76681,55986,1.7,6,496,24,40,4525,96.5,186.6
Honda,Cruze,SUV,USA,4WD,78483,36612,3.4,6,261,18,29,3700,115.3,182.2
BMW,3 Series,Coupe,Asia,FWD,72184,42441,2.8,,464,11,18,5933,110.9,180
Chevrolet,A4,Coupe,Europe,FWD,64153,20471,4.7,4,441,14,18,2813,128.2,166.4
Audi,Corolla,Coupe,Asia,RWD,21368,49631,4,8,408,15,32,5354,97.1,182
Toyota,3 Series,Coupe,Asia,AWD,42424,57461,2.8,6,478,16,31,5395,119,163
Honda,A4,Coupe,Asia,FWD,61824,40523,2.2,4,442,30,33,4644,95.9,214.7
Ford,Civic,Coupe,USA,AWD,60004,45348,2.1,4,486,34,25,5428,101,187.9
Honda,3 Series,Sedan,Asia,FWD,33333,15177,5.8,8,141,10,34,3736,110.9,191.1
Ford,Corolla,Truck,USA,FWD,38116,18760,2.7,6,453,32,17,5376,110.9,222.6
Audi,A4,Coupe,USA,4WD,62219,46779,4.8,8,208,16,22,2636,119,206.1
Audi,A4,Truck,USA,4WD,71985,35636,5.6,8,150,29,28,3529,126.9,160.6
Audi,A4,Truck,Europe,4WD,65069,30353,4.6,8,349,34,40,5558,117.4,226
Ford,Civic,Sedan,USA,AWD,67326,67551,5.8,4,440,21,15,4656,128.4,176.6
Honda,3 Series,Coupe,USA,RWD,58201,25556,3.5,4,482,25,28,5094,125.9,167.5
Audi,Civic,SUV,Europe,FWD,30525,41598,6.3,,120,25,16,5610,115.5,213.8
BMW,F-150,Sedan,USA,FWD,38398,25563,2.2,6,399,20,43,3161,124.2,195
Ford,F-150,SUV,Asia,FWD,47857,60819,2,8,238,30,37,4972,117.5,190.4
Ford,3 Series,Truck,Asia,AWD,65861,57790,4.8,8,458,13,18,5177,97.7,177.5
Honda,Civic,Truck,USA,4WD,25361,22234,6.2,8,423,22,38,4808,120.9,198.3
Ford,Corolla,Sedan,Europe,RWD,31369,39519,5.5,6,484,16,41,5997,98.3,179.2
Ford,A4,Sedan,Asia,AWD,76582,40966,1.9,4,191,13,43,2586,115.8,223.1
Audi,A4,SUV,Europe,4WD,18041,68597,2.9,4,379,24,33,5012,119.6,175.1
Honda,3 Series,Coupe,Europe,AWD,15105,30173,6.2,,224,28,20,4623,97.3,221.9
Audi,F-150,SUV,Asia,RWD,24078,73889,2.8,8,496,18,39,5018,103.1,199.2
Audi,F-150,Sedan,Europe,4WD,40003,40987,5.4,8,210,20,15,4961,127,218
Honda,A4,SUV,Asia,AWD,77768,27178,5.6,8,453,17,31,5372,116.6,209.9
Toyota,3 Series,Sedan,Europe,RWD,66047,53338,4,6,238,10,22,5442,103.6,208.8
Audi,Civic,SUV,Asia,FWD,21090,72348,3.4,4,372,32,33,5273,119.2,182.7
BMW,F-150,Sedan,USA,RWD,72660,38596,3.8,8,198,34,35,5004,115.9,176.4
BMW,Civic,Sedan,Asia,FWD,53850,47174,2.6,6,351,33,15,3808,112.6,174.8
Ford,F-150,Sedan,Asia,AWD,64786,55974,5.9,8,437,17,19,5810,129.2,220
BMW,F-150,Coupe,Asia,4WD,16925,18431,3.8,8,203,22,41,4200,118.9,217.4
Ford,Cruze,SUV,Asia,4WD,33440,73182,5.9,4,313,31,30,5200,108.1,190.8
Toyota,F-150,SUV,Europe,AWD,54685,41764,2,8,348,13,20,5219,123,169.3
Honda,Corolla,SUV,USA,4WD,67296,35627,6.4,4,251,17,22,5943,126,186.8
Honda,3 Series,Sedan,Asia,4WD,79870,53310,3.7,4,349,12,27,2994,99.4,203.4
Honda,3 Series,SUV,Europe,FWD,74614,70088,1.7,4,374,18,30,4147,102,191.8
BMW,Civic,SUV,USA,AWD,41015,22906,1.7,6,264,11,44,4442,102.6,214.6
Toyota,F-150,Sedan,USA,RWD,48320,50914,5.2,6,440,11,17,3568,119.2,229.8
BMW,Corolla,Truck,USA,FWD,79881,58814,4.8,4,107,22,33,3924,116.1,173.4
BMW,Civic,Sedan,USA,AWD,40291,59379,5.5,8,383,24,26,5818,116.7,192.2
Toyota,Cruze,SUV,Asia,FWD,69535,27076,2,4,104,32,30,3096,127.9,190.2
Toyota,Civic,Sedan,Asia,RWD,51679,63292,1.7,8,244,21,41,2949,122.2,181.3
Toyota,Civic,Truck,Europe,RWD,41289,51650,4,4,200,13,25,2984,99.5,173.9
Toyota,F-150,Sedan,Europe,AWD,78323,60881,3.4,8,263,17,24,3145,107.2,164.6
Honda,Cruze,SUV,Europe,RWD,18389,60413,3.8,6,473,18,39,5167,110.2,222.1
Chevrolet,Civic,Truck,USA,FWD,40683,20012,6.5,8,246,32,34,5589,108.9,189.4
Chevrolet,Corolla,Coupe,USA,RWD,28629,64115,6.4,4,163,14,18,4129,118.4,194.8
Toyota,Corolla,SUV,Asia,FWD,76550,21151,6.2,,190,33,26,3161,126.2,224.2
Chevrolet,3 Series,Truck,USA,FWD,39826,71716,5.4,8,216,29,37,3257,105.7,214.3
Chevrolet,Cruze,Truck,USA,RWD,50198,42211,3.3,8,453,27,16,2788,114.3,169.1
Toyota,Cruze,Coupe,USA,AWD,41630,41117,3.6,8,366,20,38,5985,122.6,199.6
Chevrolet,3 Series,Sedan,Europe,4WD,48226,50378,4.2,8,409,24,36,3220,109.6,191
BMW,Civic,Sedan,Europe,RWD,61163,56652,5.7,8,272,31,33,3137,100.9,215.8
Ford,Cruze,SUV,Asia,FWD,47975,20894,1.8,6,146,18,39,4782,111.6,210.7
Ford,Corolla,Coupe,USA,FWD,15899,27467,3.6,6,239,26,19,4963,96.9,208.3
Toyota,Corolla,Sedan,USA,RWD,26653,45010,1.9,6,345,21,22,5485,128,183.8
Honda,F-150,Coupe,Asia,AWD,42961,70463,4.1,6,248,16,21,2998,97.6,216.3
Toyota,Cruze,Sedan,USA,AWD,31405,63257,6,4,345,19,28,5521,110.3,163.7
Honda,Civic,Truck,USA,FWD,23601,68691,5.4,6,494,34,38,3133,113.5,171.2
Ford,3 Series,Sedan,Europe,FWD,48662,56641,2.6,8,104,34,37,4173,129.5,183.5
Toyota,3 Series,Coupe,Asia,AWD,48282,26289,6.4,8,283,19,17,4530,100.8,165.4
Audi,Civic,Truck,Asia,4WD,71446,58976,4.8,6,119,22,32,5567,99,176.4
BMW,A4,Truck,Asia,RWD,36288,57596,1.6,8,145,28,30,2614,95.3,218.1
Chevrolet,F-150,Truck,Asia,FWD,72019,37171,2.8,6,111,20,37,5479,100.4,226.4
Honda,3 Series,Coupe,Europe,FWD,44545,48905,2.8,8,169,22,33,3173,102.3,181.3
Audi,Cruze,SUV,Europe,AWD,51877,74760,1.8,4,116,30,33,4236,117.1,178.5
Chevrolet,F-150,SUV,USA,RWD,61026,34829,6.3,,470,17,32,3757,102.7,179.6
Chevrolet,Cruze,SUV,USA,AWD,30313,66682,3.9,6,246,17,34,5582,95.7,179.4
Toyota,Corolla,Coupe,USA,RWD,30349,48054,6,6,253,13,30,4753,123.9,162.5
Chevrolet,F-150,Truck,USA,RWD,22179,62478,3.1,6,403,24,22,4794,107.8,224.9
BMW,3 Series,SUV,Europe,RWD,25326,58139,2.1,8,207,20,42,5305,107.4,175
Audi,F-150,Coupe,Asia,FWD,59555,62713,3.9,6,335,20,15,5698,105.6,189.4
Chevrolet,F-150,SUV,Europe,4WD,75300,43734,2.1,4,407,10,31,2646,129.1,160.7
Toyota,F-150,Sedan,USA,AWD,16560,21052,3.9,8,451,26,26,4665,101,220.1
BMW,A4,SUV,Europe,4WD,28612,17654,6.1,6,169,24,44,5953,126.4,211.2
Ford,F-150,SUV,Asia,AWD,32650,37486,4.1,8,282,29,35,2911,122.2,226.3
Audi,Cruze,Truck,Asia,RWD,41745,32743,4.6,8,349,15,25,4187,97.7,214.7
Chevrolet,Corolla,Coupe,Europe,FWD,46890,62368,2.3,6,327,33,19,4910,129.5,182
Toyota,Civic,Truck,Europe,4WD,35022,38489,1.7,8,201,31,41,4032,104.5,177.4
Ford,F-150,Truck,Europe,FWD,73093,22636,2.1,4,174,34,26,2636,98.5,208.8
Ford,3 Series,Truck,USA,AWD,67579,20441,4.5,4,315,24,31,5746,124,185.5
Honda,F-150,Truck,Europe,FWD,19780,68199,2,8,498,18,20,5860,119.7,199.6
BMW,3 Series,Truck,Europe,FWD,33311,38611,3.4,6,302,23,15,5505,116.6,160.4
Chevrolet,Cruze,SUV,Europe,4WD,43380,68355,4.3,8,291,27,19,2518,100.5,164.3
Toyota,3 Series,Truck,Asia,RWD,59662,56435,3.4,4,348,26,39,4742,111.7,197.5
Honda,Civic,Truck,Asia,FWD,17356,26149,2.3,8,341,27,42,4877,122.3,199.6
BMW,Corolla,Coupe,USA,RWD,19790,48566,2.9,8,278,14,28,4459,105.6,212.6
Honda,3 Series,Sedan,USA,AWD,41911,73189,6.1,4,318,29,19,4722,105.9,169.2
Audi,3 Series,SUV,Asia,FWD,64458,56368,4.9,8,181,29,36,3501,95.1,195.9
BMW,Corolla,SUV,Asia,4WD,39363,35675,4,8,191,18,38,2948,101.1,173.6
BMW,Civic,SUV,Asia,AWD,35049,19495,1.6,6,274,20,41,4448,125.6,166.5
Chevrolet,F-150,Truck,Europe,AWD,25181,56668,6.5,6,338,33,15,3445,110.5,188.7
BMW,3 Series,Truck,Europe,4WD,54825,27673,4.9,4,359,31,44,3877,129.4,171.4
Honda,Corolla,Truck,Asia,FWD,31082,25130,3.1,4,490,10,32,4022,108.8,175.5
BMW,Cruze,Coupe,Europe,FWD,15661,36668,5.9,4,464,27,30,2640,120,182.2
Chevrolet,Corolla,Sedan,Europe,AWD,52412,29222,2.8,6,262,15,23,5305,104.9,178.2
Chevrolet,Cruze,Truck,USA,FWD,63479,37669,4.2,4,147,11,33,4420,107.7,166.1
Audi,Civic,Sedan,Asia,RWD,72655,48068,4.7,4,428,24,36,5477,101.7,166.3
Honda,F-150,Coupe,Asia,4WD,17920,37253,2.6,4,427,30,19,2592,107.1,173.5
Ford,Corolla,SUV,Europe,RWD,40658,23435,6.4,6,215,23,41,2738,114.2,163.5
Ford,A4,Truck,Asia,FWD,63770,42552,5.2,8,436,14,16,2704,129.7,203.9
BMW,3 Series,Sedan,USA,AWD,75315,66249,4.3,4,436,15,44,5107,118.2,180.1
Audi,Civic,Sedan,USA,4WD,29025,51384,2.4,8,468,15,29,3956,102,179.6
Toyota,Corolla,Truck,USA,FWD,23946,30393,1.8,4,324,31,21,2744,96.6,183.2
BMW,3 Series,SUV,Asia,FWD,43706,24617,3.1,8,451,27,18,3331,99.4,206.4
Audi,Corolla,SUV,Asia,AWD,60500,52520,5.3,6,427,23,15,5888,114.7,220.9
Honda,Cruze,SUV,Asia,AWD,54004,23852,2.8,6,246,19,27,5472,121.8,213.1
Honda,Corolla,Coupe,Asia,RWD,31309,45401,4.2,4,162,23,34,2794,127.9,210.9
Honda,A4,Sedan,Asia,4WD,70230,73975,5.1,8,393,22,36,5187,95.6,193.9
Honda,Corolla,Sedan,USA,4WD,61286,20295,2,6,422,12,21,3355,113.3,208.6
Honda,Corolla,Sedan,Europe,AWD,48120,67967,4.9,4,424,15,29,5853,111.5,198.7
Audi,A4,Coupe,USA,RWD,73246,64224,2,4,112,17,37,4564,118,175.1
Audi,Civic,Sedan,Asia,4WD,45027,49993,6.3,6,288,21,28,2570,114.6,174.6
Chevrolet,Corolla,Coupe,USA,AWD,76232,48084,3.9,6,386,22,37,3792,119,180.7
Ford,A4,SUV,Asia,FWD,22005,68851,2.3,4,307,20,33,3848,118,223.8
Honda,3 Series,Truck,Asia,4WD,61804,59105,3.2,8,213,21,36,2804,99.1,198.3
Toyota,Cruze,Sedan,USA,RWD,64310,53575,3.6,8,121,10,43,3530,123,211.4
Audi,Cruze,Sedan,Asia,RWD,74321,69826,5.3,8,448,26,38,3837,99.3,184.3
Toyota,Corolla,SUV,Europe,RWD,15956,50451,5.2,4,313,25,34,3316,119.4,188.5
Toyota,Civic,Truck,Asia,FWD,49839,21227,4.6,6,270,20,43,3626,109.6,168.8
Toyota,Civic,Coupe,Europe,4WD,23595,45910,2,4,422,22,38,3320,113,172
Chevrolet,3 Series,Truck,Europe,4WD,62908,50041,2.3,6,153,27,32,2692,126.6,217.9
Audi,Corolla,SUV,Asia,FWD,27803,37384,2,8,493,20,24,4276,126.1,200.9
Toyota,Cruze,SUV,USA,4WD,75123,14145,4.4,8,397,21,23,3028,123.6,183.6
Honda,Civic,Truck,Europe,FWD,40963,51778,5.9,6,419,15,39,4718,112.9,216.2
BMW,Corolla,Coupe,USA,FWD,51221,30035,3.7,6,225,18,22,2750,120.8,177.3
Toyota,Civic,Coupe,Europe,FWD,54443,17040,2.3,4,376,25,40,4288,113,228.3
Chevrolet,A4,Sedan,Asia,RWD,48723,56422,4.3,8,303,13,44,5958,125.4,184.1
Audi,Civic,Coupe,Asia,4WD,54063,40160,5.6,4,293,12,43,5778,109.1,183.6
Chevrolet,Cruze,Truck,Europe,FWD,63689,63634,5.2,4,268,25,24,5088,129,181.8
Toyota,F-150,SUV,Asia,4WD,65864,66331,5.9,,251,33,31,4526,127.6,168.5
Audi,3 Series,Sedan,Europe,RWD,30282,31633,2.9,8,134,34,16,4963,121,167.8
BMW,3 Series,Sedan,Asia,FWD,19703,43344,2.5,4,283,21,20,5341,104.8,205.4
Toyota,Cruze,SUV,USA,AWD,21563,31014,5.9,4,385,20,40,3903,99.6,221.3
Chevrolet,Civic,Coupe,Asia,RWD,40849,28996,4.8,4,156,14,19,3667,124.9,215.3
Ford,Corolla,SUV,USA,AWD,46860,63104,3.1,4,321,34,42,4572,100.8,169.9
Honda,Civic,Coupe,Asia,4WD,46585,55621,5.2,4,402,27,44,5215,124.9,198.2
Chevrolet,Cruze,SUV,USA,4WD,37015,25695,5.6,4,262,28,23,3596,112.2,167.4
Audi,3 Series,Truck,Asia,RWD,27003,16852,4.6,8,118,32,19,5179,109.2,163.2
Toyota,Civic,Coupe,USA,4WD,58585,30014,4.9,4,469,32,32,4347,126.6,205.9
Honda,3 Series,Truck,Europe,AWD,41958,41042,3.4,,363,15,40,5664,116.1,197.5
Toyota,Corolla,Sedan,Europe,FWD,41017,47755,4.2,4,381,31,34,3004,115.2,165.7
Audi,3 Series,SUV,USA,FWD,26171,54390,4.1,4,212,27,23,4121,114.6,162.4
Toyota,3 Series,Sedan,Asia,FWD,74141,37711,5.7,8,426,15,31,4883,108,229.3
Ford,F-150,Sedan,USA,RWD,60350,40122,5.7,8,129,13,41,4972,122.5,162.1
Honda,F-150,Sedan,Asia,4WD,27201,71993,5.7,6,234,21,31,5046,103.8,191.1
Honda,A4,Sedan,Europe,AWD,44426,23160,1.6,6,166,28,26,3887,127.9,195.3
Audi,F-150,SUV,Asia,4WD,32778,41213,5.2,8,164,11,21,5494,126.3,168.2
Ford,3 Series,Sedan,Europe,4WD,60241,64252,5.3,8,391,26,41,5177,106.8,171.8
Chevrolet,Cruze,SUV,Asia,4WD,57229,53420,4.9,4,124,20,17,3722,120.5,184.6
Toyota,3 Series,SUV,Asia,FWD,36116,71784,5.3,8,136,20,24,3217,115.1,213.3
BMW,Cruze,Truck,Asia,AWD,77731,21421,5.7,6,100,30,16,5984,106.8,195.5
Toyota,Cruze,Coupe,USA,AWD,67866,35400,3.9,4,498,25,39,2838,129.6,204.7
Toyota,F-150,Coupe,USA,4WD,63364,47537,4,6,136,11,17,3158,95.9,229
Chevrolet,Civic,SUV,Europe,FWD,48297,31727,2.1,4,240,11,30,3461,103.8,213.8
Toyota,Corolla,Truck,Europe,FWD,75967,60882,3.4,8,331,32,16,2928,113.2,190.4
Ford,F-150,SUV,USA,AWD,78508,18358,4.7,6,235,17,42,3398,113.3,191.3
Ford,F-150,SUV,Europe,FWD,34342,42482,5.4,4,488,22,38,2638,115.6,203.3
Honda,Civic,SUV,USA,FWD,72056,72921,2.6,4,287,19,24,5489,121.3,206.6
Audi,Corolla,Truck,Asia,FWD,42490,46117,2.2,8,227,17,20,3041,116.8,195
BMW,3 Series,Coupe,Europe,RWD,77233,37164,4.8,8,300,13,36,4604,116,205.1
Toyota,A4,Truck,Europe,4WD,34975,45910,1.5,8,226,24,40,3755,96.9,161.6
Toyota,A4,Sedan,USA,AWD,41723,46496,2.4,6,356,10,25,5205,108.2,190.1
Chevrolet,3 Series,Truck,Europe,AWD,38279,69754,1.6,4,263,20,37,4982,103.1,179.5
Audi,F-150,Truck,Europe,RWD,27765,58311,2.3,8,134,16,21,2883,104.3,169
Ford,Corolla,Truck,Asia,4WD,61678,43371,2.4,6,293,26,41,5107,114.4,167
BMW,F-150,Truck,Europe,AWD,26561,65501,3.4,6,290,29,43,2693,102,202.2
Honda,Cruze,Coupe,Asia,FWD,56899,74946,3.5,6,203,33,29,5081,105.3,196.7
Ford,F-150,Sedan,USA,AWD,15525,52467,5.9,8,122,27,20,5065,103.3,177.8
Audi,F-150,Coupe,Europe,FWD,37861,31625,4.1,8,364,31,34,5263,128.2,193
Honda,3 Series,Coupe,Asia,RWD,64153,47893,5.1,4,389,31,41,5298,128.1,194.5
Chevrolet,3 Series,Truck,USA,FWD,48142,24793,2,4,483,21,23,4732,116.3,173.7
Chevrolet,3 Series,SUV,Europe,AWD,41916,45007,2.6,,359,18,36,4395,127.4,205.6
Toyota,A4,SUV,USA,AWD,79324,39766,5,6,457,14,34,4839,122.5,214.7
Audi,Cruze,Coupe,Europe,AWD,59965,53532,1.8,6,174,19,26,5906,115.6,215.4
BMW,3 Series,Coupe,USA,RWD,75396,68253,3.9,6,454,13,33,3231,95.2,202.2
Honda,Corolla,Truck,USA,RWD,19648,26323,4.5,4,171,14,34,4663,122,195.8
Ford,A4,Coupe,Asia,4WD,50133,59799,4.5,6,358,19,17,5372,119.6,164.3
Audi,Civic,Truck,USA,AWD,65677,60820,1.6,4,497,20,29,5620,116.5,180.1
Audi,Corolla,SUV,Europe,FWD,45523,59408,3.1,4,287,30,16,3184,121.6,166.5
Chevrolet,Corolla,SUV,Europe,RWD,44052,21843,4.7,6,272,33,44,2581,113,227.5
Toyota,3 Series,Sedan,Asia,AWD,49414,28210,2.2,6,389,19,35,5381,119.6,169.5
Toyota,Civic,SUV,Europe,AWD,47781,30456,5,8,144,17,16,4880,127.7,170.6
Honda,Civic,Coupe,Europe,RWD,19599,45367,5.2,8,160,11,36,5104,108.2,222.3
Chevrolet,A4,SUV,Europe,4WD,50046,68624,6.4,6,182,32,17,4882,119.8,226.1
Audi,Civic,Truck,USA,RWD,62064,24106,2.5,4,222,17,20,3031,111.6,213.6
BMW,Cruze,SUV,USA,RWD,50923,51957,5.6,4,457,25,29,4483,118.6,160.4
Chevrolet,3 Series,Sedan,Europe,FWD,56089,16472,4.1,4,115,31,41,2720,121.7,160.1
Honda,Civic,SUV,Asia,FWD,18814,74390,3.4,4,165,14,24,3134,96.6,186.5
Honda,A4,Truck,USA,4WD,60893,63859,2.1,4,244,34,23,4269,117.6,170
Chevrolet,Cruze,Truck,Asia,AWD,50984,64956,5.2,,474,12,15,4870,102.9,161.3
Honda,F-150,Coupe,Europe,RWD,75282,20704,2.7,6,261,21,30,4374,118.5,192.5
Chevrolet,F-150,SUV,Europe,4WD,76272,17713,3.4,8,333,22,20,2502,111.4,226
Ford,Cruze,Truck,USA,FWD,41616,19051,1.8,4,479,22,23,4217,122.1,182.7
Chevrolet,A4,Sedan,Europe,RWD,72371,24756,5.5,4,243,19,41,2705,99.3,206.3
Chevrolet,Cruze,Coupe,USA,AWD,17113,16475,5.3,4,457,13,18,4355,116.9,205.7
Honda,3 Series,Sedan,Europe,FWD,79674,50378,5.2,4,287,18,41,2539,104.7,177.6
Honda,3 Series,SUV,Europe,FWD,73596,18255,3,6,421,31,42,4606,124.9,205.5
Toyota,F-150,SUV,USA,FWD,68508,28484,2.4,4,112,33,16,5498,127.5,174.9
Toyota,Civic,SUV,USA,4WD,58006,74167,4.7,6,283,32,43,5121,129.9,168.5
Ford,A4,Coupe,USA,AWD,28760,70549,4,4,210,11,18,3143,122.9,209.1
Toyota,F-150,Truck,Europe,RWD,36927,48503,2.4,6,389,28,15,4030,121.4,167.9
Chevrolet,Civic,Coupe,Europe,4WD,35939,72929,4.9,8,394,10,33,4407,102.5,229.8
Honda,Civic,Sedan,Asia,4WD,76367,22258,6.5,4,491,34,40,5390,106.8,172.8
Toyota,3 Series,Coupe,USA,4WD,47419,74405,5.2,6,314,16,39,5693,111.3,201.6
Toyota,Corolla,Sedan,Europe,FWD,27588,54747,5.2,8,219,26,24,5166,122.1,188.8
Ford,Corolla,Coupe,Europe,AWD,71214,49196,6.3,4,481,12,35,4643,127,168.8
Audi,Cruze,Truck,USA,4WD,51142,59113,2.5,4,154,29,29,5985,101.6,161.9
Ford,3 Series,Sedan,Asia,RWD,54198,54194,4.3,4,126,29,41,5806,127.3,203.6
Chevrolet,Civic,SUV,USA,AWD,67618,22533,6.4,6,217,30,36,3397,119.3,216.5
Honda,A4,SUV,Asia,RWD,67233,46581,2.3,6,320,12,33,3585,116.4,218.9
Ford,Corolla,Coupe,Europe,AWD,59738,19249,5,8,330,12,30,3779,102,193.8
Toyota,Civic,SUV,Asia,RWD,48397,74118,4.4,6,152,26,35,5108,96.9,214.4
Honda,Corolla,Sedan,Europe,FWD,31653,68443,4.4,6,394,16,41,5452,114.9,207.1
Honda,Corolla,SUV,USA,4WD,25831,33201,5,,420,23,38,4895,117.8,210.7
Toyota,Corolla,Truck,USA,RWD,74337,74005,6.1,4,332,26,36,3170,102.4,194.5
Ford,A4,Truck,USA,AWD,20724,72576,5.4,4,257,27,18,5695,114.5,204.3
Toyota,3 Series,Coupe,Asia,4WD,70049,67026,1.8,4,368,22,16,4005,125,216.4
